prompt,response
Pepperoni.,"Okay, pepperoni pizza. And what's your budget for this meal? And how many people?"
"250, for one.","Got it. Budget-friendly pepperoni pizza for one. (Calling tool: search_restaurants with parameters: dish_type=Pizza, cuisine=Pepperoni, budget=250, people=1)"
I want to eat pizza under 200 rupees.,"Okay, you're looking for a budget-friendly pizza. Veg or non-veg? And how many people?"
"Veg, for three.","Got it, a budget-friendly veg pizza for three. (Calling tool: search_restaurants with parameters: dish_type=Pizza, cuisine=Veg, budget=200, people=3)"
I want to eat biryani.,"Delicious! What kind of biryani are you craving? (e.g., Hyderabadi, Lucknowi, Kolkata)"
Hyderabadi chicken biryani.,Excellent choice! And what's your budget for this meal? And how many people?
"600, for two.","Perfect, a moderately priced Hyderabadi chicken biryani for two. (Calling tool: search_restaurants with parameters: dish_type=Biryani, cuisine=Hyderabadi, dish=Chicken Biryani, budget=600, people=2)"
I'm craving some Chinese food.,"Great! What kind of Chinese dish are you in the mood for? (e.g., noodles, fried rice, Manchurian)"
Noodles.,"Okay, noodles! Veg or non-veg? And how many people?"
"Veg, for one.","Got it, veg noodles for one. And what's your budget?"
800.,"Alright, moderately priced veg noodles for one. (Calling tool: search_restaurants with parameters: dish_type=Noodles, cuisine=Chinese, budget=800, vegetarian=true, people=1)"
I want to eat something sweet.,"Sounds good! What kind of sweet treat are you thinking of? (e.g., ice cream, cake, pastry)"
Ice cream.,"Okay, ice cream! What flavor are you in the mood for? And how many people?"
"Chocolate, for two.",Great choice! And what's your budget?
300.,"Perfect, budget-friendly chocolate ice cream for two. (Calling tool: search_restaurants with parameters: dish_type=Ice Cream, cuisine=Chocolate, budget=300, dessert=true, people=2)"
Suggest me a good restaurant for Italian food within 500 rupees.,"Okay, you're looking for a budget-friendly Italian restaurant. Veg or non-veg preference? And for how many people?"
"Non-veg, for one.","Got it. (Calling tool: search_restaurants with parameters: dish_type=Italian, budget=500, non-veg=true, people=1) I recommend [Restaurant Name]! They have delicious non-veg Italian options like [Dish 1], [Dish 2], and [Dish 3], all within your budget."
I want to eat a veg burger under 300 rupees.,"Okay, you're looking for a budget-friendly veg burger. And for how many people?"
For two.,"Got it. (Calling tool: search_restaurants with parameters: dish_type=Burger, cuisine=Veg, budget=300, people=2) I recommend [Restaurant Name]! They have great veg burgers like [Dish 1], [Dish 2], and [Dish 3], all under 300 rupees."
Suggest me a good restaurant for Hyderabadi biryani.,Sure! What's your budget for this meal? And how many people?
"700, for three.","Okay, moderately priced Hyderabadi biryani for three. (Calling tool: search_restaurants with parameters: dish_type=Biryani, cuisine=Hyderabadi, budget=700, people=3) I recommend [Restaurant Name]! They have delicious Hyderabadi biryani like [Dish 1], [Dish 2], and [Dish 3]."
I want to eat dosa,"Great! What type of dosa are you craving? (e.g., Masala Dosa, Onion Dosa, Plain Dosa)"
Masala Dosa,"Okay, Masala Dosa! And what's your budget for this meal? And how many people?"
"200, for one.","Perfect, budget-friendly Masala Dosa for one. (Calling tool: search_restaurants with parameters: dish_type=Dosa, cuisine=South Indian, dish=Masala Dosa, budget=200, people=1) I recommend [Restaurant Name]! They have delicious Masala Dosa along with [Dish 1], [Dish 2], and [Dish 3] all under your budget."
I'm in the mood for some Thai food.,"Thai food sounds great! What kind of Thai dish are you interested in? (e.g., Pad Thai, Green Curry, Tom Yum Soup)"
Pad Thai sounds good.,Excellent choice! And what's your budget for this meal? And how many people?
"450, for two.","Perfect, a moderately priced Pad Thai for two. (Calling tool: search_restaurants with parameters: dish_type=Noodles, cuisine=Thai, dish=Pad Thai, budget=450, people=2) I recommend [Restaurant Name]! They have delicious Pad Thai along with [Dish 1], [Dish 2], and [Dish 3]."
I want to try some Mexican food.,"Mexican food is a great choice! What kind of dish are you thinking of? (e.g., Tacos, Burritos, Quesadillas)"
"Tacos, maybe something with chicken.","Okay, chicken tacos! And what's your budget for this meal?  And how many people?"
"300, for one.","Got it, budget-friendly chicken tacos for one. (Calling tool: search_restaurants with parameters: dish_type=Tacos, cuisine=Mexican, dish=Chicken Tacos, budget=300, people=1) I recommend [Restaurant Name]! They have delicious chicken tacos and other Mexican favorites like [Dish 1], [Dish 2], and [Dish 3]."
Suggest me a good place for a vegetarian breakfast.,"Sure! What kind of vegetarian breakfast are you in the mood for? (e.g., pancakes, omelette, idli)"
Idli.,"Okay, Idli. And what is your budget? How many people?"
"150, for two.","Perfect, budget-friendly Idli for two. (Calling tool: search_restaurants with parameters: dish_type=Breakfast, cuisine=South Indian, dish=Idli, budget=150, vegetarian=true, people=2) I recommend [Restaurant Name]! They have delicious Idli along with [Dish 1], [Dish 2], and [Dish 3]."
I want a quick and healthy lunch.,"For a quick and healthy lunch, what kind of dish are you thinking of? (e.g., Salad, Wrap, Smoothie)"
A salad sounds good.,"Okay, a salad. What kind of salad? (e.g., Caesar, Greek, Quinoa)"
Quinoa salad.,Great choice! And what's your budget? How many people?
"250, for one.","Perfect, budget-friendly Quinoa salad for one. (Calling tool: search_restaurants with parameters: dish_type=Salad, dish=Quinoa Salad, budget=250, people=1, healthy=true) I recommend [Restaurant Name]! They have delicious Quinoa salad and other healthy options like [Dish 1], [Dish 2], and [Dish 3]."
I'm looking for a place to have dessert.,"Sounds good! What kind of dessert are you craving? (e.g., Ice cream, Cake, Brownie)"
Ice cream.,"Okay, Ice cream! What flavor? How many people?"
"Chocolate, for two.",Great! And what's your budget?
400.,"Perfect, budget-friendly chocolate ice cream for two. (Calling tool: search_restaurants with parameters: dish_type=Ice Cream, flavor=Chocolate, budget=400, dessert=true, people=2) I recommend [Restaurant Name]! They have delicious chocolate ice cream along with [Dish 1], [Dish 2], and [Dish 3]."
